
 {Ev:StartSession SID:2015-09-14 13:57:55 TaskName: TID:0 JID:0 Data:0xc82001c300} 

 {Ev:StartTask SID:2015-09-14 13:57:55 TaskName:update vehicles TID:0 JID:0 Data:0xc8200b0000} 

 {Ev:StopTask SID:2015-09-14 13:57:55 TaskName:update vehicles TID:0 JID:0 Data:0xc8200b0000} 

 {Ev:StopSession SID:2015-09-14 13:57:55 TaskName: TID:0 JID:0 Data:0xc82001c360} 
